256	198
8000	269
8000	220
8000	172
8000	132
8000	318
16000	367
16000	489
16000	636
32000	1144
1000	38
512	40
2000	92
4000	138
64	10
512	35
524	19
512	28
1000	31
5000	120
1500	30
3100	33
2300	61
3100	76
128	23
512	69
256	33
256	27
512	77
256	27
1310	274
1310	368
2620	32
2620	63
5240	106
5240	208
500	20
1000	29
2000	71
1000	26
1000	36
2000	40
2000	52
2000	60
1000	72
1000	72
512	18
1000	20
512	40
512	62
384	24
256	24
1000	138
1000	36
1000	26
1000	60
1000	71
256	12
256	14
256	20
256	16
256	22
512	36
2000	144
2000	144
2000	259
256	17
256	26
1000	32
2000	32
2000	62
3000	64
256	22
768	36
768	44
768	50
768	45
384	53
192	36
768	84
1000	16
1000	38
1000	38
1000	16
1000	22
2000	29
2000	40
2000	35
2000	134
2000	66
2000	141
2000	189
2000	22
4000	132
4000	237
16000	465
16000	465
8000	277
8000	185
96	6
1000	24
512	45
512	7
768	13
768	16
2000	32
4000	32
1000	11
512	11
1000	18
1000	22
2000	37
2000	40
2000	34
2000	50
2000	76
2000	66
1000	24
2000	49
2000	66
4000	100
4000	133
768	12
768	18
768	20
2000	27
2000	45
2000	56
2000	70
2000	80
8000	136
1000	16
1000	26
1000	32
2000	45
2000	54
2000	65
512	30
2000	50
2000	40
2000	62
2000	60
2000	50
4000	66
4000	86
2000	74
4000	93
4000	111
4000	143
2000	105
8000	214
8000	277
8000	370
16000	510
4000	214
8000	326
16000	510
1000	8
1000	12
1000	17
2000	21
2000	24
4000	34
4000	42
4000	46
4000	51
4000	116
8000	100
8000	140
4000	212
1000	25
1000	30
2000	41
512	25
512	50
1000	50
512	30
512	32
1000	38
1000	60
2000	109
512	6
512	11
2000	22
2000	33
2000	58
4000	130
4000	75
4000	113
8000	188
8000	173
8000	248
8000	405
2000	70
2000	114
2000	208
2000	307
4000	397
8000	915
8000	1150
262	12
512	14
262	18
512	21
1000	42
1000	46
2000	52
512	67
1000	45
