67.0	63.5
72.7	70.0
67.5	64.0
67.0	62.0
70.0	69.0
69.0	66.0
68.0	64.0
71.2	64.5
66.5	63.5
73.0	66.5
71.0	67.0
66.5	62.5
70.5	65.0
67.0	64.5
64.0	60.0
72.0	63.0
70.0	63.0
67.0	60.0
68.0	65.2
71.0	66.0
71.0	66.0
70.0	69.2
69.0	68.5
71.0	64.0
66.0	62.0
68.0	63.0
71.0	63.0
64.0	65.0
75.0	66.5
66.5	62.5
66.0	60.0
69.2	65.0
65.0	65.0
71.0	61.5
64.0	60.0
71.0	66.5
66.0	65.5
68.0	62.0
70.0	68.0
71.0	64.5
68.5	67.0
71.0	66.5
65.0	65.0
71.0	67.0
69.5	63.5
71.0	67.0
72.0	68.0
70.0	61.0
66.0	60.0
68.5	61.5
66.0	60.0
73.0	66.5
69.5	60.0
65.0	61.0
68.0	65.0
69.0	66.0
75.0	62.5
66.5	65.0
74.0	70.5
64.0	62.0
70.0	62.0
78.5	69.2
74.0	65.5
68.0	61.5
68.5	63.0
72.0	63.0
66.0	64.0
69.5	65.2
68.5	63.5
69.0	62.5
69.0	65.0
66.0	66.0
74.0	63.0
70.5	65.0
66.0	62.0
69.0	65.5
72.7	68.0
68.0	66.0
64.0	64.0
71.0	64.0
70.3	63.5
68.0	65.0
68.0	61.0
74.0	67.0
72.0	67.0
64.0	64.0
63.0	68.5
70.0	64.2
71.0	65.0
72.0	70.5
70.0	63.0
74.0	63.5
74.0	66.0
72.5	65.0
68.0	63.0
65.0	62.0
73.0	64.5
71.5	65.2
68.0	66.0
70.0	64.0
67.5	62.0
70.0	67.0
71.7	67.0
69.5	63.7
66.0	61.5
70.0	62.5
69.5	65.5
70.0	62.2
71.0	63.5
68.0	68.0
75.0	68.0
72.0	68.0
70.5	64.0
70.0	67.5
66.5	60.5
68.7	61.7
74.0	68.0
65.0	61.0
69.0	62.5
68.0	63.0
75.5	65.5
74.5	66.0
70.0	62.5
72.0	63.0
68.0	61.0
66.5	63.0
65.0	64.0
72.5	66.7
71.0	63.5
68.5	63.2
69.0	63.5
73.0	68.7
65.0	63.0
69.0	62.5
74.0	65.0
75.0	64.5
66.0	57.0
71.0	63.0
69.5	62.5
65.0	62.0
71.0	64.0
71.0	64.5
70.5	65.5
70.0	64.0
68.0	60.0
66.0	64.5
67.0	65.5
70.0	62.0
70.0	65.0
66.0	60.0
70.5	61.5
68.0	63.5
69.0	65.0
66.0	61.0
69.0	61.0
71.0	63.0
67.0	63.0
70.0	63.0
67.5	63.0
70.0	65.0
70.3	64.0
67.0	63.0
71.0	65.0
70.0	65.0
68.0	64.0
70.5	64.0
71.0	67.0
69.0	63.0
70.0	64.0
70.0	66.0
71.0	62.5
69.0	65.0
64.0	62.0
69.0	66.0
68.5	65.5
69.0	64.0
69.0	65.5
65.0	64.5
62.0	62.0
69.0	64.0
73.0	64.5
70.5	68.0
64.0	61.0
68.0	65.0
66.0	62.0
65.0	60.5
72.0	66.5
71.0	64.5
69.0	65.0
69.0	67.5
75.0	67.0
67.0	65.5
68.0	65.0
70.0	65.0
70.0	67.0
70.0	63.7
70.5	64.5
