1844	2013
1218	1083
301	1067
492	70
1441	869
1995	1882
1350	926
1019	407
2000	676
476	916
829	65
1840	424
1506	239
1982	2310
1113	818
2000	157
431	600
824	365
733	49
2000	269
2000	163
117	329
474	92
1075	925
892	463
786	283
1741	475
178	25
951	110
1621	65
1959	1833
436	931
357	1791
659	197
275	187
908	1958
1351	0
320	38
1329	2194
1964	931
1912	401
1741	770
1850	1280
2000	637
209	76
1298	63
1455	149
2000	1450
531	145
1138	1477
241	199
346	166
2000	668
2000	1013
1313	590
2000	206
1919	1663
1751	1351
1948	2014
330	1881
2000	2020
1671	299
480	984
1880	567
1226	290
1974	22
2000	652
1094	763
1265	388
164	399
1804	0
1768	761
635	201
1592	1779
1884	3069
1641	529
1500	385
2000	287
403	66
1582	1569
533	1703
512	647
1788	2041
282	118
1635	829
222	411
181	32
1993	1275
1600	530
861	293
1302	1436
1120	849
2000	2454
416	983
2000	278
586	462
1005	4
1103	419
1894	912
394	1937
1211	203
2000	1176
1938	0
1972	516
2000	1041
1208	73
141	355
191	29
734	808
2000	77
718	376
990	2060
209	113
2000	455
1647	1154
135	141
2000	503
2000	951
2000	465
2000	2439
1990	697
2000	630
1730	467
354	1075
1971	1651
787	54
463	1425
1939	252
1263	42
2000	1372
1304	174
2000	1721
1583	103
535	1571
994	594
600	39
1478	2191
1017	294
1775	406
937	75
391	1124
430	425
1489	1434
1480	446
2000	1263
1995	826
1839	616
802	52
2000	1373
903	335
241	119
177	289
700	77
1799	794
1953	1929
1302	1173
1172	1814
2000	80
1819	1047
1461	997
1853	1004
187	415
2000	1462
153	185
1904	392
1594	149
332	274
1327	1185
349	18
1975	164
746	403
1923	1161
426	52
369	1281
623	161
1600	2450
2000	361
519	975
1498	466
956	1933
774	724
218	331
2000	660
1070	469
1348	961
1899	2268
714	428
1992	913
642	563
1713	1165
2000	714
2000	198
1560	815
554	0
651	1401
1991	389
895	428
494	586
681	24
822	107
2000	34
2000	112
1882	1124
480	588
1850	758
1889	218
1586	1258
685	241
2000	240
1774	1049
2000	2404
2000	224
2000	436
990	718
778	342
745	1313
1564	306
2000	1241
1770	1970
1972	247
1129	936
596	231
1439	1164
1512	996
2000	209
254	2059
1629	864
738	1659
743	616
1268	520
644	907
1982	596
1841	1562
1983	1311
1005	153
1829	1669
588	456
519	1201
462	140
1977	427
2000	799
413	1711
1981	1435
369	254
473	272
2000	676
1308	1209
1958	1200
392	672
1104	992
523	35
1081	1268
658	628
417	91
1843	588
886	2023
359	189
493	795
1377	906
453	10
1490	250
1992	1125
1999	1382
559	2064
589	1898
950	345
458	2
276	12
1775	1256
1782	1890
193	71
484	1295
737	499
915	322
2000	1315
1967	79
313	240
538	757
1240	1224
2000	323
1946	1197
2000	942
1041	562
1836	1578
1940	1389
1299	1375
1822	249
885	0
363	522
439	110
705	139
102	117
2000	725
340	22
2000	2310
1125	535
1774	1071
1223	1253
158	225
2000	90
827	1714
1563	1517
1272	281
615	216
440	170
705	1231
669	305
988	571
1473	1749
2000	147
419	1168
2000	2479
1762	845
620	91
1028	553
1173	470
927	1470
2000	294
116	676
1558	0
1380	316
1240	818
1874	813
1985	1878
462	1315
1681	358
904	305
711	1215
1874	1900
2000	289
628	86
402	241
1818	1390
1861	967
1259	1886
281	31
1277	183
2000	1117
637	461
321	626
2000	1153
196	336
1588	641
1866	444
249	131
2000	2142
296	20
2000	432
1067	226
700	188
1648	82
1659	686
2000	211
1281	1832
2000	188
421	67
1448	930
1905	2252
726	18
1092	2574
1395	532
2000	782
218	34
536	661
763	993
2000	1182
499	50
1774	154
1822	739
2000	962
559	1121
369	0
2000	986
1404	1386
1327	1556
2000	1785
693	798
710	751
370	781
2000	1290
2000	2001
2000	0
681	165
342	367
1372	57
628	111
200	60
768	74
315	882
2000	2214
2000	1283
1043	309
1885	226
1658	2227
2000	420
546	844
1504	387
385	122
38	98
1772	2916
1467	1141
1828	1238
2000	1118
457	324
1854	1222
683	291
219	210
1916	895
551	1759
1896	186
2000	2035
1911	922
525	43
2000	492
1987	1241
540	678
1526	509
2000	586
374	337
236	502
350	14
947	299
885	141
1112	930
202	67
1272	190
237	48
796	237
298	46
338	69
1055	195
1933	229
974	17
660	545
620	586
2000	1080
1010	986
2000	1215
481	10
859	642
1738	431
559	215
2000	436
1420	406
1788	2044
700	358
355	534
327	166
1447	1280
1361	795
2000	1365
1596	1080
886	0
1739	405
659	28
1387	1502
2000	0
1424	1205
2000	251
606	1174
813	592
1458	102
168	16
2000	460
2000	1074
2000	2241
1531	1226
447	9
1325	246
2000	1374
941	2329
1950	2140
2000	710
660	42
281	422
834	397
1240	731
832	243
453	273
2000	92
1614	1061
1843	935
1582	1010
1398	1083
769	102
437	1106
2000	184
1973	772
920	261
2000	129
1050	579
184	18
415	231
2000	1212
2000	234
972	772
89	93
501	71
