2000	3256
424	258
878	925
2000	150
1226	96
248	88
1268	381
2000	620
783	2613
2000	1007
2000	1031
2000	983
1489	748
536	788
1988	996
1990	592
966	1773
1995	1115
360	666
1501	0
728	1151
495	1034
957	49
2000	179
2000	1699
1998	372
960	1304
891	2070
1929	1131
1421	137
2000	0
2000	910
990	0
1989	603
1869	1032
1950	1649
1474	491
570	486
1964	0
2000	1189
2000	133
2000	341
841	842
2000	182
2000	0
2000	1788
1809	1115
1594	0
416	768
952	2202
2000	761
557	839
1322	1028
1115	1916
2000	1249
540	988
1655	724
1866	174
2000	0
1400	1130
2000	2365
2000	220
2000	0
2000	2147
601	464
2000	144
2000	2455
2000	1160
1916	0
1195	0
1785	1106
1965	1561
2000	165
1985	717
2000	1191
1347	210
2000	1944
1983	1039
2000	1566
2000	620
475	735
2000	1222
1991	877
1930	798
907	167
1907	497
1866	0
440	379
1981	1152
2000	809
2000	1943
1394	559
1100	167
366	1911
1987	974
1164	1995
2000	1322
768	963
1999	2129
2000	1188
1154	73
2000	150
808	1686
1980	1814
2000	2167
1971	1818
1877	753
295	819
1945	1466
1963	1200
2000	1869
1888	1110
1591	428
2000	264
1643	1961
1595	644
2000	1190
1752	931
2000	272
2000	906
2000	1107
955	1010
1210	534
2000	2033
493	0
1932	883
1990	1000
2000	3146
2000	122
906	1123
1988	165
1203	571
2000	1284
2000	202
2000	944
1880	1089
1857	1317
589	697
2000	109
1560	0
1964	1150
2000	644
2000	696
1838	0
1955	1017
1220	1220
1419	2270
1994	1238
2000	287
698	151
303	847
2000	151
2000	211
2000	0
2000	972
1047	44
1954	1270
725	632
336	1215
2000	535
1997	1165
940	912
1673	1126
1759	110
1290	2070
2000	0
1991	1662
1786	969
482	1023
2000	1101
313	339
1151	708
286	355
2000	891
2000	0
1275	1062
2000	1556
550	5
2000	1201
791	834
286	410
2000	690
1029	554
1488	0
1786	512
560	456
2000	1501
1720	932
617	1346
2000	1288
1948	690
1621	711
2000	2349
1593	963
2000	283
1750	422
2000	1865
2000	1580
1825	996
1847	0
2000	1686
1969	697
1900	0
1909	1690
1987	0
1177	642
212	250
2000	168
2000	2787
2000	736
827	764
2000	122
1219	112
2000	109
1823	902
2000	981
1300	315
